File ,Law Number,Type,Status,Committee,Prime Sponsor,Council Member Sponsors,Title
LU 0223-2023,,Land Use Application,Adopted,Committee on Finance,Justin L. Brannan,1,"Paradise Management Cluster 12.HPO.FY23, Block 2504, Lot 105, Bronx, Community District No. 4, Council District No. 8."
LU 0222-2023,,Land Use Application,Adopted,Committee on Finance,Justin L. Brannan,1,"Paradise Management Cluster 11.HPO.FY23, Block 2529, Lot 63, Bronx, Community District No. 4, Council District No. 16."
LU 0221-2023,,Land Use Application,Adopted,Committee on Finance,Justin L. Brannan,1,"Paradise Management Cluster 10.HPO.FY23, Block 2506, Lot 33, Block 2800, Lot 68, Bronx, Community Districts No. 4 and 5, Council Districts No. 15 and 16."
LU 0220-2023,,Land Use Application,Adopted,Committee on Finance,Justin L. Brannan,1,"Paradise Management Cluster 9.HPO.FY23, Block 2506, Lot 121, Block 2514, Lot 50, Bronx, Community District No. 4, Council District No. 16."
LU 0219-2023,,Land Use Application,Adopted,Committee on Finance,Justin L. Brannan,1,"Paradise Management Cluster 8.HPO.FY23, Block 3118, Lots 36, 39, and 56, Bronx, Community District No. 6, Council District No. 17."
LU 0218-2023,,Land Use Application,Adopted,Committee on Finance,Justin L. Brannan,1,"Paradise Management Cluster 7.HPO.FY23, Block 2947, Lot 40, Block 3129, Lots 1 and 4, Bronx, Community District No. 6, Council District No. 15."
LU 0217-2023,,Land Use Application,Adopted,Committee on Finance,Justin L. Brannan,1,"Paradise Management Cluster 5.HPO.FY23, Block 3134, Lots 14 and 20, Bronx, Community District No. 6, Council District No. 15."
LU 0216-2023,,Land Use Application,Adopted,Committee on Finance,Justin L. Brannan,1,"Paradise Management Cluster 3.HPO.FY23, Block 3054, Lot 6, Block 3287, Lot 43, Bronx, Community District Nos. 6 and 7, Council District No. 15."
LU 0215-2023,,Land Use Application,Adopted,Committee on Finance,Justin L. Brannan,1,"Paradise Management Cluster 2.HPO.FY23, Block 2002, Lots 19, 21, 22, 24, and 26, Manhattan, Community District No. 9, Council District No. 7."
LU 0214-2023,,Land Use Application,Adopted,Committee on Finance,Justin L. Brannan,1,"Paradise Management Cluster 1.HPO.FY23, Block 2014, Lots 14, 16, and 18, Manhattan, Community District No. 10, Council District No. 9."
LU 0213-2023,,Land Use Application,Adopted,Committee on Finance,Justin L. Brannan,1,"West 148th Street Heighliner Portfolio.HPO.FY23, Block 2034, Lot 29, Manhattan, Community District No. 10, Council District No. 9."
LU 0212-2023,,Land Use Application,Adopted,Committee on Finance,Justin L. Brannan,1,"Duncan Genns, Block 3446, Lot 1, Brooklyn, Community District No. 4, Council District No. 37."
Res 0661-2023,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,2,Resolution to establish that the discount percentage for early payment of real estate taxes be set at one-half of one percent per annum for Fiscal Year 2024.
T2023-3460,,Oversight,Filed,Committee on Women and Gender Equity,,0,Oversight - Current State of Access to Healthcare for LGBTQIA+ Individuals.
T2023-3459,,Oversight,Filed,Committee on Health,,0,Oversight - Current State of Access to Healthcare for LGBTQIA+ Individuals.
T2023-3644,,Oversight,Filed,Committee on Governmental Operations,,0,Oversight – Vacant and Neglected Properti
Int 1094-2023,2023/149,Introduction,Enacted,Committee on Criminal Justice,Carlina Rivera,14,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the department of correction to record interactions in which an individual is informed about a scheduled court appearance and report on rates of court production"
T2023-3616,,Oversight,Filed,Committee on Parks and Recreation,,0,Oversight - The State of the City’s Tree Cano
Int 1066-2023,2023/135,Introduction,Enacted,Committee on Parks and Recreation,Gale A. Brewer,24,"A Local Law to amend the New York city charter, in relation to the role of trees and the tree canopy with respect to the city's long-term sustainability planning"
Int 1065-2023,2023/148,Introduction,Enacted,Committee on Parks and Recreation,Erik D. Bottcher,32,"A Local Law to amend the administrative code of the city of New York, in relation to an urban forest plan"
Res 0648-2023,,Resolution,Adopted,Committee on Finance,Justin L. Brannan,1,RESOLUTION APPROVING A MODIFICATION (MN-6) PURSUANT TO SECTION 107(e) OF THE CHARTER OF THE CITY OF NEW YORK.
Res 0655-2023,,Resolution,Adopted,"Committee on Rules, Privileges and Elections",Keith Powers,1,RESOLUTION APPROVING THE APPOINTMENT BY THE MAYOR OF SARAH KAUFMAN AS A MEMBER OF THE NEW YORK CITY TAXI AND LIMOUSINE COMMISSION (M. 0152-2023).
Res 0654-2023,,Resolution,Adopted,"Committee on Rules, Privileges and Elections",Keith Powers,1,RESOLUTION APPROVING THE APPOINTMENT BY THE MAYOR OF THOMAS SORRENTINO AS A MEMBER OF THE NEW YORK CITY TAXI AND LIMOUSINE COMMISSION (M. 0151-2023).
Res 0653-2023,,Resolution,Adopted,"Committee on Rules, Privileges and Elections",Keith Powers,1,RESOLUTION APPROVING THE APPOINTMENT BY THE MAYOR OF PAUL BADER AS A MEMBER OF THE NEW YORK CITY TAXI AND LIMOUSINE COMMISSION (M. 0150-2023).
Res 0652-2023,,Resolution,Adopted,"Committee on Rules, Privileges and Elections",Keith Powers,1,RESOLUTION APPROVING THE APPOINTMENT BY THE MAYOR OF KENNETH Y.K. CHAN AS A MEMBER OF THE NEW YORK CITY TAXI AND LIMOUSINE COMMISSION (M. 0149-2023).
Res 0647-2023,,Resolution,Filed (End of Session),Committee on Consumer and Worker Protection,Julie Won,4,"Resolution calling on the New York State Legislature to pass, and the Governor to sign, the Crypto Regulation, Protection, Transparency, and Oversight Act to strengthen regulation of the cryptocurrency industry and protect investors."
Int 1062-2023,,Introduction,Filed (End of Session),Committee on Consumer and Worker Protection,Marjorie Velázque,3,"A Local Law to amend the administrative code of the city of New York, in relation to vendor display and storage of goods, and to repeal sections 17-313 and 20-463 of such code, relating to bookkeeping requirements"
Int 1061-2023,,Introduction,Filed (End of Session),Committee on Governmental Operations,Lincoln Restler,8,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the department of citywide administrative services to maintain an interactive webpage providing information on the city government workforce and to publish semiannual reports aggregating and summarizing such information"
Res 0639-2023,,Resolution,Filed (End of Session),"Committee on Cultural Affairs, Libraries and International Intergroup Relations",James F. Gennaro,24,Resolution declaring July annually as Muslim-American Heritage Month in the City of New York to celebrate the culture and history of Muslim Americans and their contributions to New York City communities.
Res 0638-2023,,Resolution,Filed (End of Session),Committee on Transportation and Infrastructure,Amanda Faría,5,"Resolution calling on the New York State Legislature to pass, and the New York State Governor to sign, legislation that would create a surcharge for for-hire vehicles (FHVs) that would go towards funding the expansion of wheelchair accessible and all-electric FHVs."
Res 0645-2023,,Resolution,Adopted,"Committee on Cultural Affairs, Libraries and International Intergroup Relations",Kevin C. Riley,20,Resolution designating June as Fatherhood Recognition Month annually in the City of New York to honor and support the contributions of fathers to family and community life.
Res 0642-2023,,Resolution,Filed (End of Session),Committee on Health,Mercedes Narcisse,3,Resolution calling on New York State to extend eligibility for the New York Medication Aide Certification to certified nursing assistants.
Int 1060-2023,,Introduction,Filed (End of Session),Committee on Consumer and Worker Protection,Julie Menin,5,"A Local Law to amend the administrative code of the city of New York, in relation to prohibiting vending or vendor-related activity in bicycle lanes"
Res 0640-2023,,Resolution,Filed (End of Session),Committee on Fire and Emergency Management,Julie Menin,6,"Resolution calling on the New York State Legislature to pass, and the Governor to sign, legislation that would expand the federal No Surprises Act by including ambulance transportation costs."
Res 0641-2023,,Resolution,Filed (End of Session),Committee on Public Safety,Francisco P. Moya,5,"Resolution calling upon the New York State Legislature to pass, and the Governor to sign, A.2913, which would require New York Police Department officers to live within the five boroughs of New York City."
Int 1054-2023,,Introduction,Filed (End of Session),Committee on Consumer and Worker Protection,Tiffany Cabá,8,"A Local Law to amend the administrative code of the city of New York, in relation to requiring the licensing of last-mile distribution centers"
Int 1052-2023,,Introduction,Filed (End of Session),Committee on Parks and Recreation,Gale A. Brewer,5,"A Local Law to amend the administrative code of the city of New York, in relation to an annual plan to expand access to school playgrounds"
Int 1051-2023,2023/109,Introduction,Enacted,Committee on Finance,Justin L. Brannan,8,"A Local Law to amend the administrative code of the city of New York, in relation to exemptions from real property taxes and payments in lieu of taxes for certain properties occupied by senior citizens or persons with disabilities"
